it,loss,wl_sur,d_sur,c_sur,ov_sur,proxy,exact_wl,exact_den,exact_cong,overlaps,gamma,w_d,w_c,w_ov
0,0.0833389014005661,0.0833389014005661,1.0175873041152954,1.920846939086914,0.42421865463256836,1.2140909433364868,0.05409734323620796,0.8624002121684308,1.4575870037078857,129,1.0306,0.0,0.0,0.0
25,0.0785004198551178,0.0785004198551178,1.1707910299301147,1.8681267499923706,30.26406478881836,1.251904010772705,0.051594387739896774,0.9597662867230586,1.4408531188964844,284,0.9182545830459554,0.0,0.0,0.0
50,0.15172110497951508,0.07445734739303589,1.3210866451263428,1.8303059339523315,58.479736328125,1.3151581287384033,0.049645841121673584,1.0768188011395048,1.454205870628357,362,0.8181559084852528,0.0,0.041927409261576974,0.0
75,0.33958232402801514,0.07241654396057129,1.5241291522979736,1.8109973669052124,75.48362731933594,1.329164743423462,0.049585841596126556,1.129167438526879,1.429990530014038,367,0.7289689623643613,0.0,0.14622444722569877,0.0
100,0.5564090013504028,0.07179798930883408,1.3325982093811035,1.803210735321045,81.69645690917969,1.294891357421875,0.05076953396201134,1.0734244480822739,1.4148191213607788,358,0.6495042602264015,0.020963704630788487,0.25052148518982065,0.0
125,0.7684885859489441,0.07160910218954086,1.1021294593811035,1.7946486473083496,85.12364196777344,1.2482757568359375,0.05212831869721413,0.9605080866878807,1.4317866563796997,365,0.5787019829815313,0.04703796412181894,0.3548185231539424,0.0
150,0.9729869365692139,0.07141856849193573,0.9643129110336304,1.7840062379837036,81.3228759765625,1.2014997005462646,0.053097765892744064,0.8902804392738567,1.40652334690094,374,0.5156178421216511,0.07311222361284939,0.4591155611180642,0.0
175,1.1706169843673706,0.07125624269247055,0.8870232105255127,1.7665029764175415,76.977294921875,1.171144723892212,0.053838811814785004,0.840205637285121,1.3944063186645508,364,0.4594104857640908,0.09918648310387984,0.563412599082186,0.0
200,1.3648585081100464,0.07114991545677185,0.8429172039031982,1.7485744953155518,72.83416748046875,1.156660795211792,0.05445803329348564,0.8082555050033984,1.39614999294281,355,0.40933027755894147,0.12526074259491032,0.6677096370463079,0.0
225,1.5522220134735107,0.07104343175888062,0.8150453567504883,1.7259732484817505,67.99015808105469,1.1337089538574219,0.05493631213903427,0.7827999885998026,1.3747453689575195,344,0.36470929880455183,0.15133500208594075,0.7720066750104296,0.0
250,1.734797477722168,0.07095348089933395,0.794564962387085,1.7027345895767212,64.85646057128906,1.1219589710235596,0.05531333386898041,0.7630646591245066,1.3702267408370972,338,0.3249524404296104,0.1774092615769712,0.8763037129745515,0.0
275,1.9162882566452026,0.07090983539819717,0.7799466252326965,1.6826825141906738,62.60271453857422,1.1195629835128784,0.0556303896009922,0.748539731566557,1.37932550907135,340,0.28952946603576324,0.2034835210680017,0.9806007509386734,0.0
300,2.0974626541137695,0.07091662287712097,0.7660645842552185,1.6664576530456543,58.46345138549805,1.096958875656128,0.055900949984788895,0.7317124787495553,1.3504033088684082,325,0.2579679401457286,0.2295577805590321,1.084897788902795,0.0
325,8.257813453674316,0.07097914069890976,0.7610665559768677,1.6495916843414307,35.02190399169922,1.068722128868103,0.05615902319550514,0.7120657127809292,1.3130605220794678,248,0.2298469273411023,0.2556320400500626,1.189194826866917,0.17079275924173487
350,3.942020893096924,0.07113096863031387,0.7593204379081726,1.625449299812317,1.5575708150863647,1.0452100038528442,0.05639677867293358,0.7025850462511382,1.2750414609909058,53,0.20479137825538324,0.28170629954109305,1.2934918648310387,0.9614999779534708
375,4.339197635650635,0.0712834820151329,0.7509723901748657,1.6166903972625732,0.9772406220436096,1.0414339303970337,0.05668151378631592,0.6975194997374263,1.271985411643982,6,0.18246712754832473,0.3077805590321235,1.3977889027951607,1.752207196665208
